OBJECTID,Name,Area_Code,Work_ID,zone_code,Gov,Address,Shape_Leng,حالة الحصر,المباني المنجزة,إجمالي المباني,عدد الوحدات,نسبة الإنجاز %,عدد الفرق,عدد المهندسين,آخر تحديث بواسطة,Shape_Length,Shape_Area
252,خانيونس-مربع مدرسة عيد الأغا وصالة بانوراما ومربع مسجد العباسي,KQA0001,INDAS_K008,FKQA0001_E004,خانيونس, ,4104.41942584,مناطق حصر جديدة,,413.0,413,,,,,4104.419425838747,738468.6271310407
253,خانيونس-مربع مدرسة عيد الأغا وصالة بانوراما ومربع مسجد العباسي,KQA0001,INDAS_K008,FKQA0001_E005,خانيونس, ,3952.34244769,مناطق حصر جديدة,,375.0,383,,,,,3952.342447688473,729518.0771714981
254,خانيونس-مربع محطة الأغا ومربع محطة عودة,KQA0001,INDAS_K007,FKQA0001_E006,خانيونس, ,4992.62496704,مناطق حصر جديدة,,369.0,390,,,,,4992.624967040759,791720.7475433444
255,خانيونس-المواصي-مربع محطة الأسطل للبترول,KKY0007,INDAS_K004,FKKY0007_E013,خانيونس, ,4999.64631346,مناطق حصر جديدة,,318.0,198,,,,,4999.646313455987,1161951.8691020284
256,خانيونس-البركة,KKY0007,INDAS_K003,FKKY0007_E014,خانيونس, ,5036.58163241,مناطق حصر جديدة,,156.0,86,,,,,5036.58163241308,1131679.5569060806
257,خانيونس-مربع إسكان الياباني,KKY0007,INDAS_K005,FKKY0007_E015,خانيونس, ,6426.37111352,مناطق حصر جديدة,,36.0,14,,,,,6426.371113522686,1625124.8602114383
258,غزة-مربع مقبرة الشيخ رضوان وبرج الايطالي,GGA0009,INDAS_G053,FGGA0009_E016,غزة, ,1953.58966218,قيد الحصر,13.0,221.0,775,6.0,1.0,3.0,سامر وهبة,1953.589662184018,232457.65575487958
259,غزة-المنطقة التي تجمع بين مربع الجسر -عيادة وكالة الشيخ رضوان - مربع القسطل-مربع مسجد حطين,GGA0009,INDAS_G013,FGGA0009_E017,غزة, ,1097.46650072,قيد الحصر,38.0,162.0,681,23.0,1.0,3.0,سامر وهبة,1097.466500718601,68581.07572713133
260,غزة-مربع عبدالله عزام وبيارة الدهشان,GGA0006,INDAS_G035,FGGA0006_E022,غزة, ,1404.01764406,مناطق حصر جديدة,,254.0,923,,,,,1404.0176440625391,97217.08508973487
261,غزة-مربع مسجد الكنز,GGA0008,INDAS_G025,FGGA0008_E024,غزة, ,1792.59881528,مناطق حصر جديدة,0.0,148.0,575,,,,,1792.5988152832,175253.37933810495
262,الوسطى-النصيرات-مخيم النصيرات,MNU0002,INDAS_M005,FMNU0002_E026,الوسطى, ,1667.7375492,قيد الحصر,67.0,246.0,550,27.0,1.0,,فاطمة جبر,1667.7375491976477,98571.09480765839
263,الوسطى-النصيرات-مربع أراضي (مطر والحرثاني وأبو عريبان),MNU0002,INDAS_M006,FMNU0002_E027,الوسطى, ,1313.42033326,مناطق حصر جديدة,62.0,128.0,509,,,,,1313.4203332619707,105088.07420254969
264,خانيونس-مربع مدينة حمد,KQA0001,INDAS_K006,FKQA0001_E007,خانيونس, ,1946.69281882,مناطق حصر جديدة,,,129,,,,,1946.6928188170755,162580.13623716414
